Id,CourseName,CategoryId,SubCategoryId,Duration,Campus,MaxBacklogsAllowed,AppFeeWaiverAvailable,ApplicationFee,TutionFee,ApplicationFeeAmt,WithoutEnglishProficiency,WithoutMaths,IsStemCourse,ScholarshipAvailable,InternshipAvailable,ScholarshipDeatil,UniversityId,universityName,universityCity,universityState,Currency,USNewsRanking,QSRanking,PteScore,PteNoSectionLessThan,IeltsOverall,IeltsNoBandLessThan,Remarks,TuitionFeeAUD,EntryRequirementTwelfthOutOf100,EntryRequirementTwelfthOutOf45,EntryRequirementTwelfthOutOf10,EntryRequirementTwelfthOutOf7,EntryRequirementTwelfthOutOf5,EntryRequirementTwelfthOutOf4,ToeflRequired,PteRequired,DisplayIntakes,CBSE_RequiredScore,cluster,score
41392,Bachelor of Sports Management,16,156,36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.         (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
41390,Bachelor of Event Management,4,28,36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.         (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
41388,Bachelor of Hospitality Management,"4,16","2,03,158",36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Your choices include electives in marketing, international tourism, entrepreneurship, event management, and sports management.  (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Dec', 'Feb', 'Jun', 'Mar', 'May', 'Oct']",,1,0.7537571846112553
41391,Bachelor of International Tourism,"4,16","2,03,158",36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.         (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
41389,"Bachelor of Property (Development, Investment And Valuation)",4,"28,30",36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Dec', 'Feb', 'Jun', 'Mar', 'May', 'Oct']",,1,0.7537571846112553
118308,Bachelor of Business (Marketing),4,28,36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"You can choose to specialise in Entrepreneurship, Marketing and New Media, Retail Marketing. Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.     (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
84717,Bachelor of Business Management(Fashion and Global Brand Management),"4, 3","28, 18",33,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.     (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
84716,Bachelor of Business Management(Accounting),4,"26, 28",33,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.     (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
118307,Bachelor of Business (Entrepreneurship),4,28,36,Sydney,0,0,Not specified,AUD 35200/Year,0,0,1,0,0,1,,240,International College of Management Sydney,Sydney,New South Wales,AU$,182,226,50,42,6.0,5.5,"You can choose to specialise in Entrepreneurship, Marketing and New Media, Retail Marketing. Internship available upto 9 month. Please note Students will need to show us the Financial Documents before we arrange the SKYPE with the International Office and then only after clearing the Skype with the International Office can we proceed for the COE after the Fee Payment.     (Main intakes- Feb, May, Aug; Mid-Term Intakes: Mar, Jun, Oct & Dec)
Please visit the university website for more information.",35200.0,60.0,24.0,6.0,4.2,3.0,2.4,0,1,"['Aug', 'Feb', 'May']",,1,0.7537571846112553
208736,Diploma of Information Technology,5,38,12,Curtin Bentley,0,0,Not specified,AU$ 30100 for stage 1,0,0,1,1,0,0,,218,Curtin College,Perth,Western Australia,AU$,152,183,50,50,5.5,5.0,"The tution fee is indicative and subject to change.
Please visit the university website for more information.",30100.0,50.0,18.0,5.0,3.5,2.5,2.0,0,1,"['Feb', 'Jun', 'Oct']",,2,0.7303319665151272
